well,molec,group,index,BI_position,BI_zone,                        BI_error,pdz_pos,pdz_int,ref_int,max_2nd_corr,max_2nd_pos,y_dilation,norm_pos,norm_int,range_norm,range_anal,range_2nd_corr,iter,                        nbchunks,speed,translX,dilatX, dilatY,validated,reprocessed,comments,additionnal_comments,
B2, Biotin_MAGI1_2_C, grp_01, 3, ref, ref, 0.001, None, None, None, None, None, n, 14.37,                       2706.97, 11 18, 45 75, 22 45, 2, 50, 5, None, None, None, y, _, _  
A1, HPV16_E6_MAGI1_2_C, grp_01, 0, 0.8908, 0.8893, 0.001, 65.2, 132.59, 1597.7799972571897, 102.0, 28.04, n, 14.37,                       2706.97, 11 18, 45 75, 22 45, 2, 50, 5, -0.216, 0.989, None, y, _, _  
A2, HPV18_E6_MAGI1_2_C, grp_01, 1, 0.8857, 0.8795, 0.001, 65.22, 180.1, 1597.7799972571897, 54.0, 28.28, n, 14.37,                       2706.97, 11 18, 45 75, 22 45, 2, 50, 5, -0.028, 0.999, None, y, _, _  
B1, NONE_MAGI1_2_C, grp_01, 2, 0.0654, 0.0622, 0.001, 65.2, 1418.67, 1597.7799972571897, 99.0, 28.11, n, 14.37,                       2706.97, 11 18, 45 75, 22 45, 2, 50, 5, -0.165, 0.996, None, y, _, _  
B4, Biotin_MAGI1_3_C, grp_02, 3, ref, ref, 0.002, None, None, None, None, None, n, 14.22,                       2424.44, 11 18, 45 75, 22 45, 2, 50, 5, None, None, None, y, _, _  
A3, HPV16_E6_MAGI1_3_C, grp_02, 0, 0.1075, 0.1059, 0.002, 68.04, 713.28, 900.5291635850853, 83.0, 28.6, n, 14.22,                       2424.44, 11 18, 45 75, 22 45, 2, 50, 5, -0.214, 0.992, None, y, _, _  
A4, HPV18_E6_MAGI1_3_C, grp_02, 1, 0.3949, 0.3921, 0.001, 68.07, 526.07, 900.5291635850853, 60.0, 23.55, n, 14.22,                       2424.44, 11 18, 45 75, 22 45, 2, 50, 5, -0.001, 0.996, None, y, _, _  
B3, NONE_MAGI1_3_C, grp_02, 2, 0.0631, 0.0618, 0.002, 68.04, 811.91, 900.5291635850853, 66.0, 28.68, n, 14.22,                       2424.44, 11 18, 45 75, 22 45, 2, 50, 5, -0.05, 0.996, None, y, _, _  
B6, Biotin_SCRIB_1_C, grp_03, 3, ref, ref, 0.005, None, None, None, None, None, n, 14.47,                       2592.36, 11 18, 45 75, 22 45, 2, 50, 5, None, None, None, y, _, _  
A5, HPV16_E6_SCRIB_1_C, grp_03, 0, 0.6948, 0.693, 0.003, 58.54, 175.7, 576.3156359298388, 65.0, 29.75, n, 14.47,                       2592.36, 11 18, 45 75, 22 45, 2, 50, 5, 0.151, 0.998, None, y, _, _  
A6, HPV18_E6_SCRIB_1_C, grp_03, 1, 0.0949, 0.0919, 0.005, 58.38, 488.96, 576.3156359298388, 56.0, 29.66, n, 14.47,                       2592.36, 11 18, 45 75, 22 45, 2, 50, 5, -0.071, 0.996, None, y, _, _  
B5, NONE_SCRIB_1_C, grp_03, 2, -0.1576, -0.1576, 0.006, 58.41, 617.18, 576.3156359298388, 68.0, 29.83, n, 14.47,                       2592.36, 11 18, 45 75, 22 45, 2, 50, 5, 0.041, 0.995, None, y, _, _  
